"Id","Type","Module","Text"
"MSG076","Toast (Success)","Unpublish All Success","Đã hủy công bố tất cả điểm"
"MSG077","Toast (Error)","Bulk Action Fail","Có lỗi xảy ra khi công bố hàng loạt"
"MSG078","Toast (Success)","Grade Reset Success","Đã hủy đánh giá. Học sinh có thể nộp lại bài."
"MSG079","Toast (Error)","Grade Reset Fail","Có lỗi khi hủy đánh giá"
"MSG080","Toast (Error)","Library Load Fail","Không thể tải dữ liệu thư viện"
"MSG081","Toast (Success)","ASM Update Success","Cập nhật bài tập thành công"
"MSG082","Toast (Success)","ASM Create Success","Tạo bài tập thành công"
"MSG083","Toast (Error)","ASM Save Fail","Không thể lưu bài tập"
"MSG084","Toast (Success)","ASM Delete Success","Xóa bài tập thành công"
"MSG085","Toast (Error)","ASM Delete Fail","Không thể xóa bài tập"
"MSG086","Toast (Success)","Material Delete Success","Xóa tài liệu thành công"
"MSG087","Toast (Error)","Material Delete Fail","Không thể xóa tài liệu"
"MSG088","Toast (Info)","Download","Đang tải xuống: {name}"
"MSG089","Toast (Error)","Download Fail","Không có đường dẫn tải về"
"MSG090","Toast (Error)","Report Load Fail","Lỗi khi tải báo cáo"
"MSG091","Toast (Error)","Class Info Fail","Không tìm thấy thông tin lớp học"
"MSG092","Toast (Success)","Request Sent Success","Yêu cầu đã được gửi đến admin!"
"MSG093","Toast (Error)","Request Sent Fail","Gửi yêu cầu thất bại."
"MSG094","Toast (Error)","My Classes Load Fail","Không thể tải danh sách lớp học"
"MSG095","Toast (Error)","Class Detail Load Fail","Không thể tải thông tin lớp học. Vui lòng thử lại sau."
"MSG096","Toast (Error)","Submission File Val","Vui lòng chọn file để nộp bài."
"MSG097","Toast (Success)","Submission Update Success","Cập nhật bài nộp thành công!"
"MSG098","Toast (Success)","Submission Success","Nộp bài thành công!"
"MSG099","Toast (Error)","Submission Fail","Có lỗi khi nộp bài"
"MSG100","Toast (Error)","File Not Found","Không tìm thấy tệp tin"
"MSG101","Toast (Error)","Schedule Load Fail","Không thể tải lịch học (Student)"
"MSG102","Toast (Error)","Invoices Load Fail","Không thể tải danh sách hóa đơn"
"MSG103","Toast (Error)","Paid Invoice Val","Hóa đơn này đã được thanh toán"
"MSG104","Toast (Error)","Cancelled Invoice Val","Hóa đơn này đã bị hủy"
"MSG105","Toast (Error)","Draft Invoice Val","Hóa đơn chưa được gửi, vui lòng liên hệ trung tâm"
"MSG106","Toast (Error)","Payment Init Fail","Lỗi tạo thanh toán"
"MSG107","Toast (Error)","Payment Error","Lỗi thanh toán"
"MSG108","Toast (Error)","Child Class Detail Fail","Không thể tải chi tiết lớp học"
"MSG109","Toast (Error)","Child Classes Load Fail","Không thể tải dữ liệu lớp học"
"MSG110","Toast (Error)","Child Schedule Load Fail","Không thể tải lịch học (Parent)"
"MSG111","Toast (Error)","Feedback Load Fail","Không thể tải danh sách phản hồi."
"MSG112","Toast (Validation)","Category Val","Vui lòng chọn danh mục."
"MSG113","Toast (Validation)","Subject Val","Vui lòng nhập tiêu đề."
"MSG114","Toast (Validation)","Content Val","Nội dung phải có ít nhất 20 ký tự."
"MSG115","Toast (Validation)","Rating Val","Vui lòng chọn mức đánh giá."
"MSG116","Toast (Success)","Feedback Sent Success","Phản hồi đã được gửi thành công!"
"MSG117","Toast (Error)","Feedback Sent Fail","Gửi phản hồi thất bại."
"MSG118","Toast (Error)","Auth - Register","Username đã tồn tại"
"MSG119","Toast (Error)","Auth - Login","Tài khoản hoặc mật khẩu không đúng"
"MSG120","Toast (Error)","Auth - Login","Tài khoản của bạn đã bị khóa"
"MSG121","Toast (Error)","Auth - Pwd Reset","Mã xác thực đã hết hạn hoặc không tồn tại. Vui lòng yêu cầu mã mới."
"MSG122","Toast (Error)","Auth - Pwd Reset","Mã xác thực không chính xác."
"MSG123","Toast (Error)","Auth - Pwd Reset","Mật khẩu mới phải có ít nhất 6 ký tự."
"MSG124","Toast (Error)","Class - Manage","Không tìm thấy môn học"
"MSG125","Toast (Error)","Class - Manage","Không tìm thấy giáo viên"
"MSG126","Toast (Error)","Class - Manage","Giáo viên đã được phân công cho lớp '{name}' trong khoảng thời gian này"
"MSG127","Toast (Error)","Class - Manage","Trợ giảng đã được phân công cho lớp '{name}' trong khoảng thời gian này"
"MSG128","Toast (Error)","Class - Manage","Phòng '{name}' đã được đặt bởi lớp '{class}' vào {day}..."
"MSG129","Toast (Error)","Class - Manage","Phòng '{name}' đang bảo trì, không thể sử dụng"
"MSG130","Toast (Error)","Class - Manage","Ngày bắt đầu không thể lớn hơn ngày kết thúc"
